index,network_names,ROI1,ROI2
1028,Aud and Lmb,38,46
1029,Aud and Vis,39,46
1030,Aud and Vis,40,46
1031,Aud and InO,41,46
1032,Aud and Vis,42,46
1033,Aud and Vis,43,46
1034,Aud and SoM,44,46
1035,Aud and InO,45,46
1036,Aud and Vis,1,47
1037,Aud and Vis,2,47
1038,Aud and InO,3,47
1039,Aud and InO,4,47
1040,Aud and Aud,5,47
1041,Aud and Aud,6,47
1042,Aud and Def,7,47
1043,Aud and Def,8,47
1044,Aud and Lmb,9,47
1045,Aud and Lmb,10,47
1046,Aud and Def,11,47
1047,Aud and Def,12,47
1048,Aud and SoM,13,47
1049,Aud and SoM,14,47
1050,Aud and DoA,15,47
1051,Aud and DoA,16,47
1052,Aud and SoM,17,47
1053,Aud and DoA,18,47
1054,Aud and SoM,19,47
1055,Aud and SoM,20,47
1056,Aud and DoA,21,47
1057,Aud and InO,22,47
1058,Aud and DoA,23,47
1059,Aud and Def,24,47
1060,Aud and Def,25,47
1061,Aud and Def,26,47
1062,Aud and Lmb,27,47
1063,Aud and Lmb,28,47
1064,Aud and Lmb,29,47
1065,Aud and Def,30,47
1066,Aud and Def,31,47
1067,Aud and Def,32,47
1068,Aud and Def,33,47
1069,Aud and SoM,34,47
1070,Aud and Def,35,47
1071,Aud and Def,36,47
1072,Aud and Lmb,37,47
1073,Aud and Lmb,38,47
1074,Aud and Vis,39,47
1075,Aud and Vis,40,47
1076,Aud and InO,41,47
1077,Aud and Vis,42,47
1078,Aud and Vis,43,47
1079,Aud and SoM,44,47
1080,Aud and InO,45,47
1081,Aud and Aud,46,47
1082,Def and Vis,1,48
1083,Def and Vis,2,48
1084,Def and InO,3,48
1085,Def and InO,4,48
1086,Aud and Def,5,48
1087,Aud and Def,6,48
1088,Def and Def,7,48
1089,Def and Def,8,48
1090,Def and Lmb,9,48
1091,Def and Lmb,10,48
1092,Def and Def,11,48
1093,Def and Def,12,48
1094,Def and SoM,13,48
1095,Def and SoM,14,48
1096,Def and DoA,15,48
1097,Def and DoA,16,48
1098,Def and SoM,17,48
1099,Def and DoA,18,48
1100,Def and SoM,19,48
1101,Def and SoM,20,48
1102,Def and DoA,21,48
1103,Def and InO,22,48
1104,Def and DoA,23,48
1105,Def and Def,24,48
1106,Def and Def,25,48
1107,Def and Def,26,48
1108,Def and Lmb,27,48
1109,Def and Lmb,28,48
1110,Def and Lmb,29,48
1111,Def and Def,30,48
1112,Def and Def,31,48
1113,Def and Def,32,48
1114,Def and Def,33,48
1115,Def and SoM,34,48
1116,Def and Def,35,48
1117,Def and Def,36,48
1118,Def and Lmb,37,48
1119,Def and Lmb,38,48
1120,Def and Vis,39,48
1121,Def and Vis,40,48
1122,Def and InO,41,48
1123,Def and Vis,42,48
1124,Def and Vis,43,48
1125,Def and SoM,44,48
1126,Def and InO,45,48
1127,Aud and Def,46,48
1128,Aud and Def,47,48
1129,Def and Vis,1,49
1130,Def and Vis,2,49
1131,Def and InO,3,49
1132,Def and InO,4,49
1133,Aud and Def,5,49
1134,Aud and Def,6,49
1135,Def and Def,7,49
1136,Def and Def,8,49
1137,Def and Lmb,9,49
1138,Def and Lmb,10,49
1139,Def and Def,11,49
1140,Def and Def,12,49
1141,Def and SoM,13,49
1142,Def and SoM,14,49
1143,Def and DoA,15,49
1144,Def and DoA,16,49
1145,Def and SoM,17,49
1146,Def and DoA,18,49
1147,Def and SoM,19,49
1148,Def and SoM,20,49
1149,Def and DoA,21,49
1150,Def and InO,22,49
1151,Def and DoA,23,49
1152,Def and Def,24,49
1153,Def and Def,25,49
1154,Def and Def,26,49
1155,Def and Lmb,27,49
1156,Def and Lmb,28,49
1157,Def and Lmb,29,49
1158,Def and Def,30,49
1159,Def and Def,31,49
1160,Def and Def,32,49
1161,Def and Def,33,49
1162,Def and SoM,34,49
1163,Def and Def,35,49
1164,Def and Def,36,49
1165,Def and Lmb,37,49
1166,Def and Lmb,38,49
1167,Def and Vis,39,49
1168,Def and Vis,40,49
1169,Def and InO,41,49
1170,Def and Vis,42,49
1171,Def and Vis,43,49
1172,Def and SoM,44,49
1173,Def and InO,45,49
1174,Aud and Def,46,49
1175,Aud and Def,47,49
1176,Def and Def,48,49
1177,Lmb and Vis,1,50
1178,Lmb and Vis,2,50
1179,InO and Lmb,3,50
1180,InO and Lmb,4,50
1181,Aud and Lmb,5,50
1182,Aud and Lmb,6,50
1183,Def and Lmb,7,50
1184,Def and Lmb,8,50
1185,Lmb and Lmb,9,50
1186,Lmb and Lmb,10,50
1187,Def and Lmb,11,50
1188,Def and Lmb,12,50
1189,Lmb and SoM,13,50
1190,Lmb and SoM,14,50
1191,DoA and Lmb,15,50
1192,DoA and Lmb,16,50
1193,Lmb and SoM,17,50
1194,DoA and Lmb,18,50
1195,Lmb and SoM,19,50
1196,Lmb and SoM,20,50
1197,DoA and Lmb,21,50
1198,InO and Lmb,22,50
1199,DoA and Lmb,23,50
1200,Def and Lmb,24,50
1201,Def and Lmb,25,50
1202,Def and Lmb,26,50
1203,Lmb and Lmb,27,50
1204,Lmb and Lmb,28,50
1205,Lmb and Lmb,29,50
1206,Def and Lmb,30,50
1207,Def and Lmb,31,50
1208,Def and Lmb,32,50
1209,Def and Lmb,33,50
1210,Lmb and SoM,34,50
1211,Def and Lmb,35,50
1212,Def and Lmb,36,50
1213,Lmb and Lmb,37,50
1214,Lmb and Lmb,38,50
1215,Lmb and Vis,39,50
1216,Lmb and Vis,40,50
1217,InO and Lmb,41,50
1218,Lmb and Vis,42,50
1219,Lmb and Vis,43,50
1220,Lmb and SoM,44,50
1221,InO and Lmb,45,50
1222,Aud and Lmb,46,50
1223,Aud and Lmb,47,50
1224,Def and Lmb,48,50
1225,Def and Lmb,49,50
1226,Lmb and Vis,1,51
1227,Lmb and Vis,2,51
1228,InO and Lmb,3,51
1229,InO and Lmb,4,51
1230,Aud and Lmb,5,51
1231,Aud and Lmb,6,51
1232,Def and Lmb,7,51
1233,Def and Lmb,8,51
1234,Lmb and Lmb,9,51
1235,Lmb and Lmb,10,51
1236,Def and Lmb,11,51
1237,Def and Lmb,12,51
1238,Lmb and SoM,13,51
1239,Lmb and SoM,14,51
1240,DoA and Lmb,15,51
1241,DoA and Lmb,16,51
1242,Lmb and SoM,17,51
1243,DoA and Lmb,18,51
1244,Lmb and SoM,19,51
1245,Lmb and SoM,20,51
1246,DoA and Lmb,21,51
1247,InO and Lmb,22,51
1248,DoA and Lmb,23,51
1249,Def and Lmb,24,51
1250,Def and Lmb,25,51
1251,Def and Lmb,26,51
1252,Lmb and Lmb,27,51
1253,Lmb and Lmb,28,51
1254,Lmb and Lmb,29,51
1255,Def and Lmb,30,51
1256,Def and Lmb,31,51
1257,Def and Lmb,32,51
1258,Def and Lmb,33,51
1259,Lmb and SoM,34,51
1260,Def and Lmb,35,51
1261,Def and Lmb,36,51
1262,Lmb and Lmb,37,51
1263,Lmb and Lmb,38,51
1264,Lmb and Vis,39,51
1265,Lmb and Vis,40,51
1266,InO and Lmb,41,51
1267,Lmb and Vis,42,51
1268,Lmb and Vis,43,51
1269,Lmb and SoM,44,51
1270,InO and Lmb,45,51
1271,Aud and Lmb,46,51
1272,Aud and Lmb,47,51
1273,Def and Lmb,48,51
1274,Def and Lmb,49,51
1275,Lmb and Lmb,50,51
1276,Def and Vis,1,52
1277,Def and Vis,2,52
1278,Def and InO,3,52
1279,Def and InO,4,52
1280,Aud and Def,5,52
1281,Aud and Def,6,52
1282,Def and Def,7,52
1283,Def and Def,8,52
1284,Def and Lmb,9,52
1285,Def and Lmb,10,52
1286,Def and Def,11,52
1287,Def and Def,12,52
1288,Def and SoM,13,52
1289,Def and SoM,14,52
1290,Def and DoA,15,52
1291,Def and DoA,16,52
1292,Def and SoM,17,52
1293,Def and DoA,18,52
1294,Def and SoM,19,52
1295,Def and SoM,20,52
1296,Def and DoA,21,52
1297,Def and InO,22,52
1298,Def and DoA,23,52
1299,Def and Def,24,52
1300,Def and Def,25,52
1301,Def and Def,26,52
1302,Def and Lmb,27,52
1303,Def and Lmb,28,52
1304,Def and Lmb,29,52
1305,Def and Def,30,52
1306,Def and Def,31,52
1307,Def and Def,32,52
1308,Def and Def,33,52
1309,Def and SoM,34,52
1310,Def and Def,35,52
1311,Def and Def,36,52
1312,Def and Lmb,37,52
1313,Def and Lmb,38,52
1314,Def and Vis,39,52
1315,Def and Vis,40,52
1316,Def and InO,41,52
1317,Def and Vis,42,52
1318,Def and Vis,43,52
1319,Def and SoM,44,52
1320,Def and InO,45,52
1321,Aud and Def,46,52
1322,Aud and Def,47,52
1323,Def and Def,48,52
1324,Def and Def,49,52
1325,Def and Lmb,50,52
1326,Def and Lmb,51,52
1327,Def and Vis,1,53
1328,Def and Vis,2,53
1329,Def and InO,3,53
1330,Def and InO,4,53
1331,Aud and Def,5,53
1332,Aud and Def,6,53
1333,Def and Def,7,53
1334,Def and Def,8,53
1335,Def and Lmb,9,53
1336,Def and Lmb,10,53
1337,Def and Def,11,53
1338,Def and Def,12,53
1339,Def and SoM,13,53
1340,Def and SoM,14,53
1341,Def and DoA,15,53
1342,Def and DoA,16,53
1343,Def and SoM,17,53
1344,Def and DoA,18,53
1345,Def and SoM,19,53
1346,Def and SoM,20,53
1347,Def and DoA,21,53
1348,Def and InO,22,53
1349,Def and DoA,23,53
1350,Def and Def,24,53
1351,Def and Def,25,53
1352,Def and Def,26,53
1353,Def and Lmb,27,53
1354,Def and Lmb,28,53
1355,Def and Lmb,29,53
1356,Def and Def,30,53
1357,Def and Def,31,53
1358,Def and Def,32,53
1359,Def and Def,33,53
1360,Def and SoM,34,53
1361,Def and Def,35,53
1362,Def and Def,36,53
1363,Def and Lmb,37,53
1364,Def and Lmb,38,53
1365,Def and Vis,39,53
1366,Def and Vis,40,53
1367,Def and InO,41,53
1368,Def and Vis,42,53
1369,Def and Vis,43,53
1370,Def and SoM,44,53
1371,Def and InO,45,53
1372,Aud and Def,46,53
1373,Aud and Def,47,53
1374,Def and Def,48,53
1375,Def and Def,49,53
1376,Def and Lmb,50,53
1377,Def and Lmb,51,53
1378,Def and Def,52,53
1379,SoM and Vis,1,54
1380,SoM and Vis,2,54
1381,InO and SoM,3,54
1382,InO and SoM,4,54
1383,Aud and SoM,5,54
1384,Aud and SoM,6,54
1385,Def and SoM,7,54
1386,Def and SoM,8,54
1387,Lmb and SoM,9,54
1388,Lmb and SoM,10,54
1389,Def and SoM,11,54
1390,Def and SoM,12,54
1391,SoM and SoM,13,54
1392,SoM and SoM,14,54
1393,DoA and SoM,15,54
1394,DoA and SoM,16,54
1395,SoM and SoM,17,54
1396,DoA and SoM,18,54
1397,SoM and SoM,19,54
1398,SoM and SoM,20,54
1399,DoA and SoM,21,54
1400,InO and SoM,22,54
1401,DoA and SoM,23,54
1402,Def and SoM,24,54
1403,Def and SoM,25,54
1404,Def and SoM,26,54
1405,Lmb and SoM,27,54
1406,Lmb and SoM,28,54
1407,Lmb and SoM,29,54
1408,Def and SoM,30,54
1409,Def and SoM,31,54
1410,Def and SoM,32,54
1411,Def and SoM,33,54
1412,SoM and SoM,34,54
1413,Def and SoM,35,54
1414,Def and SoM,36,54
1415,Lmb and SoM,37,54
1416,Lmb and SoM,38,54
1417,SoM and Vis,39,54
1418,SoM and Vis,40,54
1419,InO and SoM,41,54
1420,SoM and Vis,42,54
1421,SoM and Vis,43,54
1422,SoM and SoM,44,54
1423,InO and SoM,45,54
1424,Aud and SoM,46,54
1425,Aud and SoM,47,54
1426,Def and SoM,48,54
1427,Def and SoM,49,54
1428,Lmb and SoM,50,54
1429,Lmb and SoM,51,54
1430,Def and SoM,52,54
1431,Def and SoM,53,54
1432,SoM and Vis,1,55
1433,SoM and Vis,2,55
1434,InO and SoM,3,55
1435,InO and SoM,4,55
1436,Aud and SoM,5,55
1437,Aud and SoM,6,55
1438,Def and SoM,7,55
1439,Def and SoM,8,55
1440,Lmb and SoM,9,55
1441,Lmb and SoM,10,55
1442,Def and SoM,11,55
1443,Def and SoM,12,55
1444,SoM and SoM,13,55
1445,SoM and SoM,14,55
1446,DoA and SoM,15,55
1447,DoA and SoM,16,55
1448,SoM and SoM,17,55
1449,DoA and SoM,18,55
1450,SoM and SoM,19,55
1451,SoM and SoM,20,55
1452,DoA and SoM,21,55
1453,InO and SoM,22,55
1454,DoA and SoM,23,55
1455,Def and SoM,24,55
1456,Def and SoM,25,55
1457,Def and SoM,26,55
1458,Lmb and SoM,27,55
1459,Lmb and SoM,28,55
1460,Lmb and SoM,29,55
1461,Def and SoM,30,55
1462,Def and SoM,31,55
1463,Def and SoM,32,55
1464,Def and SoM,33,55
1465,SoM and SoM,34,55
1466,Def and SoM,35,55
1467,Def and SoM,36,55
1468,Lmb and SoM,37,55
1469,Lmb and SoM,38,55
1470,SoM and Vis,39,55
1471,SoM and Vis,40,55
1472,InO and SoM,41,55
1473,SoM and Vis,42,55
1474,SoM and Vis,43,55
1475,SoM and SoM,44,55
1476,InO and SoM,45,55
1477,Aud and SoM,46,55
1478,Aud and SoM,47,55
1479,Def and SoM,48,55
1480,Def and SoM,49,55
1481,Lmb and SoM,50,55
1482,Lmb and SoM,51,55
1483,Def and SoM,52,55
1484,Def and SoM,53,55
1485,SoM and SoM,54,55
1486,DoA and Vis,1,56
1487,DoA and Vis,2,56
1488,DoA and InO,3,56
1489,DoA and InO,4,56
1490,Aud and DoA,5,56
1491,Aud and DoA,6,56
1492,Def and DoA,7,56
1493,Def and DoA,8,56
1494,DoA and Lmb,9,56
1495,DoA and Lmb,10,56
1496,Def and DoA,11,56
1497,Def and DoA,12,56
1498,DoA and SoM,13,56
1499,DoA and SoM,14,56
1500,DoA and DoA,15,56
1501,DoA and DoA,16,56
1502,DoA and SoM,17,56
1503,DoA and DoA,18,56
1504,DoA and SoM,19,56
1505,DoA and SoM,20,56
1506,DoA and DoA,21,56
1507,DoA and InO,22,56
1508,DoA and DoA,23,56
1509,Def and DoA,24,56
1510,Def and DoA,25,56
1511,Def and DoA,26,56
1512,DoA and Lmb,27,56
1513,DoA and Lmb,28,56
1514,DoA and Lmb,29,56
1515,Def and DoA,30,56
1516,Def and DoA,31,56
1517,Def and DoA,32,56
1518,Def and DoA,33,56
1519,DoA and SoM,34,56
1520,Def and DoA,35,56
1521,Def and DoA,36,56
1522,DoA and Lmb,37,56
1523,DoA and Lmb,38,56
1524,DoA and Vis,39,56
1525,DoA and Vis,40,56
1526,DoA and InO,41,56
1527,DoA and Vis,42,56
1528,DoA and Vis,43,56
1529,DoA and SoM,44,56
1530,DoA and InO,45,56
1531,Aud and DoA,46,56
1532,Aud and DoA,47,56
1533,Def and DoA,48,56
1534,Def and DoA,49,56
1535,DoA and Lmb,50,56
1536,DoA and Lmb,51,56
1537,Def and DoA,52,56
1538,Def and DoA,53,56
1539,DoA and SoM,54,56
1540,DoA and SoM,55,56
1541,DoA and Vis,1,57
1542,DoA and Vis,2,57
1543,DoA and InO,3,57
1544,DoA and InO,4,57
1545,Aud and DoA,5,57
1546,Aud and DoA,6,57
1547,Def and DoA,7,57
1548,Def and DoA,8,57
1549,DoA and Lmb,9,57
1550,DoA and Lmb,10,57
1551,Def and DoA,11,57
1552,Def and DoA,12,57
1553,DoA and SoM,13,57
1554,DoA and SoM,14,57
1555,DoA and DoA,15,57
1556,DoA and DoA,16,57
1557,DoA and SoM,17,57
1558,DoA and DoA,18,57
1559,DoA and SoM,19,57
1560,DoA and SoM,20,57
1561,DoA and DoA,21,57
1562,DoA and InO,22,57
1563,DoA and DoA,23,57
1564,Def and DoA,24,57
1565,Def and DoA,25,57
1566,Def and DoA,26,57
1567,DoA and Lmb,27,57
1568,DoA and Lmb,28,57
1569,DoA and Lmb,29,57
1570,Def and DoA,30,57
1571,Def and DoA,31,57
1572,Def and DoA,32,57
1573,Def and DoA,33,57
1574,DoA and SoM,34,57
1575,Def and DoA,35,57
1576,Def and DoA,36,57
1577,DoA and Lmb,37,57
1578,DoA and Lmb,38,57
1579,DoA and Vis,39,57
1580,DoA and Vis,40,57
1581,DoA and InO,41,57
1582,DoA and Vis,42,57
1583,DoA and Vis,43,57
1584,DoA and SoM,44,57
1585,DoA and InO,45,57
1586,Aud and DoA,46,57
1587,Aud and DoA,47,57
1588,Def and DoA,48,57
1589,Def and DoA,49,57
1590,DoA and Lmb,50,57
1591,DoA and Lmb,51,57
1592,Def and DoA,52,57
1593,Def and DoA,53,57
1594,DoA and SoM,54,57
1595,DoA and SoM,55,57
1596,DoA and DoA,56,57
1597,SoM and Vis,1,58
1598,SoM and Vis,2,58
1599,InO and SoM,3,58
1600,InO and SoM,4,58
1601,Aud and SoM,5,58
1602,Aud and SoM,6,58
1603,Def and SoM,7,58
1604,Def and SoM,8,58
1605,Lmb and SoM,9,58
1606,Lmb and SoM,10,58
1607,Def and SoM,11,58
1608,Def and SoM,12,58
1609,SoM and SoM,13,58
1610,SoM and SoM,14,58
1611,DoA and SoM,15,58
1612,DoA and SoM,16,58
1613,SoM and SoM,17,58
1614,DoA and SoM,18,58
1615,SoM and SoM,19,58
1616,SoM and SoM,20,58
1617,DoA and SoM,21,58
1618,InO and SoM,22,58
1619,DoA and SoM,23,58
1620,Def and SoM,24,58
1621,Def and SoM,25,58
1622,Def and SoM,26,58
1623,Lmb and SoM,27,58
1624,Lmb and SoM,28,58
1625,Lmb and SoM,29,58
1626,Def and SoM,30,58
1627,Def and SoM,31,58
1628,Def and SoM,32,58
1629,Def and SoM,33,58
1630,SoM and SoM,34,58
1631,Def and SoM,35,58
1632,Def and SoM,36,58
1633,Lmb and SoM,37,58
1634,Lmb and SoM,38,58
1635,SoM and Vis,39,58
1636,SoM and Vis,40,58
1637,InO and SoM,41,58
1638,SoM and Vis,42,58
1639,SoM and Vis,43,58
1640,SoM and SoM,44,58
1641,InO and SoM,45,58
1642,Aud and SoM,46,58
1643,Aud and SoM,47,58
1644,Def and SoM,48,58
1645,Def and SoM,49,58
1646,Lmb and SoM,50,58
1647,Lmb and SoM,51,58
1648,Def and SoM,52,58
1649,Def and SoM,53,58
1650,SoM and SoM,54,58
1651,SoM and SoM,55,58
1652,DoA and SoM,56,58
1653,DoA and SoM,57,58
1654,DoA and Vis,1,59
1655,DoA and Vis,2,59
1656,DoA and InO,3,59
1657,DoA and InO,4,59
1658,Aud and DoA,5,59
1659,Aud and DoA,6,59
1660,Def and DoA,7,59
1661,Def and DoA,8,59
1662,DoA and Lmb,9,59
1663,DoA and Lmb,10,59
1664,Def and DoA,11,59
1665,Def and DoA,12,59
1666,DoA and SoM,13,59
1667,DoA and SoM,14,59
1668,DoA and DoA,15,59
1669,DoA and DoA,16,59
1670,DoA and SoM,17,59
1671,DoA and DoA,18,59
1672,DoA and SoM,19,59
1673,DoA and SoM,20,59
1674,DoA and DoA,21,59
1675,DoA and InO,22,59
1676,DoA and DoA,23,59
1677,Def and DoA,24,59
1678,Def and DoA,25,59
1679,Def and DoA,26,59
1680,DoA and Lmb,27,59
1681,DoA and Lmb,28,59
1682,DoA and Lmb,29,59
1683,Def and DoA,30,59
1684,Def and DoA,31,59
1685,Def and DoA,32,59
1686,Def and DoA,33,59
1687,DoA and SoM,34,59
1688,Def and DoA,35,59
1689,Def and DoA,36,59
1690,DoA and Lmb,37,59
1691,DoA and Lmb,38,59
1692,DoA and Vis,39,59
1693,DoA and Vis,40,59
1694,DoA and InO,41,59
1695,DoA and Vis,42,59
1696,DoA and Vis,43,59
1697,DoA and SoM,44,59
1698,DoA and InO,45,59
1699,Aud and DoA,46,59
1700,Aud and DoA,47,59
1701,Def and DoA,48,59
1702,Def and DoA,49,59
1703,DoA and Lmb,50,59
1704,DoA and Lmb,51,59
1705,Def and DoA,52,59
1706,Def and DoA,53,59
1707,DoA and SoM,54,59
1708,DoA and SoM,55,59
1709,DoA and DoA,56,59
1710,DoA and DoA,57,59
1711,DoA and SoM,58,59
1712,SoM and Vis,1,60
1713,SoM and Vis,2,60
1714,InO and SoM,3,60
1715,InO and SoM,4,60
1716,Aud and SoM,5,60
1717,Aud and SoM,6,60
1718,Def and SoM,7,60
1719,Def and SoM,8,60
1720,Lmb and SoM,9,60
1721,Lmb and SoM,10,60
1722,Def and SoM,11,60
1723,Def and SoM,12,60
1724,SoM and SoM,13,60
1725,SoM and SoM,14,60
1726,DoA and SoM,15,60
1727,DoA and SoM,16,60
1728,SoM and SoM,17,60
1729,DoA and SoM,18,60
1730,SoM and SoM,19,60
1731,SoM and SoM,20,60
1732,DoA and SoM,21,60
1733,InO and SoM,22,60
1734,DoA and SoM,23,60
1735,Def and SoM,24,60
1736,Def and SoM,25,60
1737,Def and SoM,26,60
1738,Lmb and SoM,27,60
1739,Lmb and SoM,28,60
1740,Lmb and SoM,29,60
1741,Def and SoM,30,60
1742,Def and SoM,31,60
1743,Def and SoM,32,60
1744,Def and SoM,33,60
1745,SoM and SoM,34,60
1746,Def and SoM,35,60
1747,Def and SoM,36,60
1748,Lmb and SoM,37,60
1749,Lmb and SoM,38,60
1750,SoM and Vis,39,60
1751,SoM and Vis,40,60
1752,InO and SoM,41,60
1753,SoM and Vis,42,60
1754,SoM and Vis,43,60
1755,SoM and SoM,44,60
1756,InO and SoM,45,60
1757,Aud and SoM,46,60
1758,Aud and SoM,47,60
1759,Def and SoM,48,60
1760,Def and SoM,49,60
1761,Lmb and SoM,50,60
1762,Lmb and SoM,51,60
1763,Def and SoM,52,60
1764,Def and SoM,53,60
1765,SoM and SoM,54,60
1766,SoM and SoM,55,60
1767,DoA and SoM,56,60
1768,DoA and SoM,57,60
1769,SoM and SoM,58,60
1770,DoA and SoM,59,60
1771,SoM and Vis,1,61
1772,SoM and Vis,2,61
1773,InO and SoM,3,61
1774,InO and SoM,4,61
1775,Aud and SoM,5,61
1776,Aud and SoM,6,61
1777,Def and SoM,7,61
1778,Def and SoM,8,61
1779,Lmb and SoM,9,61
1780,Lmb and SoM,10,61
1781,Def and SoM,11,61
1782,Def and SoM,12,61
1783,SoM and SoM,13,61
1784,SoM and SoM,14,61
1785,DoA and SoM,15,61
1786,DoA and SoM,16,61
1787,SoM and SoM,17,61
1788,DoA and SoM,18,61
1789,SoM and SoM,19,61
1790,SoM and SoM,20,61
1791,DoA and SoM,21,61
1792,InO and SoM,22,61
1793,DoA and SoM,23,61
1794,Def and SoM,24,61
1795,Def and SoM,25,61
1796,Def and SoM,26,61
1797,Lmb and SoM,27,61
1798,Lmb and SoM,28,61
1799,Lmb and SoM,29,61
1800,Def and SoM,30,61
1801,Def and SoM,31,61
1802,Def and SoM,32,61
1803,Def and SoM,33,61
1804,SoM and SoM,34,61
1805,Def and SoM,35,61
1806,Def and SoM,36,61
1807,Lmb and SoM,37,61
1808,Lmb and SoM,38,61
1809,SoM and Vis,39,61
1810,SoM and Vis,40,61
1811,InO and SoM,41,61
1812,SoM and Vis,42,61
1813,SoM and Vis,43,61
1814,SoM and SoM,44,61
1815,InO and SoM,45,61
1816,Aud and SoM,46,61
1817,Aud and SoM,47,61
1818,Def and SoM,48,61
1819,Def and SoM,49,61
1820,Lmb and SoM,50,61
1821,Lmb and SoM,51,61
1822,Def and SoM,52,61
1823,Def and SoM,53,61
1824,SoM and SoM,54,61
1825,SoM and SoM,55,61
1826,DoA and SoM,56,61
1827,DoA and SoM,57,61
1828,SoM and SoM,58,61
1829,DoA and SoM,59,61
1830,SoM and SoM,60,61
1831,DoA and Vis,1,62
1832,DoA and Vis,2,62
1833,DoA and InO,3,62
1834,DoA and InO,4,62
1835,Aud and DoA,5,62
1836,Aud and DoA,6,62
1837,Def and DoA,7,62
1838,Def and DoA,8,62
1839,DoA and Lmb,9,62
1840,DoA and Lmb,10,62
1841,Def and DoA,11,62
1842,Def and DoA,12,62
1843,DoA and SoM,13,62
1844,DoA and SoM,14,62
1845,DoA and DoA,15,62
1846,DoA and DoA,16,62
1847,DoA and SoM,17,62
1848,DoA and DoA,18,62
1849,DoA and SoM,19,62
1850,DoA and SoM,20,62
1851,DoA and DoA,21,62
1852,DoA and InO,22,62
1853,DoA and DoA,23,62
1854,Def and DoA,24,62
1855,Def and DoA,25,62
1856,Def and DoA,26,62
1857,DoA and Lmb,27,62
1858,DoA and Lmb,28,62
1859,DoA and Lmb,29,62
1860,Def and DoA,30,62
1861,Def and DoA,31,62
1862,Def and DoA,32,62
1863,Def and DoA,33,62
1864,DoA and SoM,34,62
1865,Def and DoA,35,62
1866,Def and DoA,36,62
1867,DoA and Lmb,37,62
1868,DoA and Lmb,38,62
1869,DoA and Vis,39,62
1870,DoA and Vis,40,62
1871,DoA and InO,41,62
1872,DoA and Vis,42,62
1873,DoA and Vis,43,62
1874,DoA and SoM,44,62
1875,DoA and InO,45,62
1876,Aud and DoA,46,62
1877,Aud and DoA,47,62
1878,Def and DoA,48,62
1879,Def and DoA,49,62
1880,DoA and Lmb,50,62
1881,DoA and Lmb,51,62
1882,Def and DoA,52,62
1883,Def and DoA,53,62
1884,DoA and SoM,54,62
1885,DoA and SoM,55,62
1886,DoA and DoA,56,62
1887,DoA and DoA,57,62
1888,DoA and SoM,58,62
1889,DoA and DoA,59,62
1890,DoA and SoM,60,62
1891,DoA and SoM,61,62
1892,InO and Vis,1,63
1893,InO and Vis,2,63
1894,InO and InO,3,63
1895,InO and InO,4,63
1896,Aud and InO,5,63
1897,Aud and InO,6,63
1898,Def and InO,7,63
1899,Def and InO,8,63
1900,InO and Lmb,9,63
1901,InO and Lmb,10,63
1902,Def and InO,11,63
1903,Def and InO,12,63
1904,InO and SoM,13,63
1905,InO and SoM,14,63
1906,DoA and InO,15,63
1907,DoA and InO,16,63
1908,InO and SoM,17,63
1909,DoA and InO,18,63
1910,InO and SoM,19,63
1911,InO and SoM,20,63
1912,DoA and InO,21,63
1913,InO and InO,22,63
1914,DoA and InO,23,63
1915,Def and InO,24,63
1916,Def and InO,25,63
1917,Def and InO,26,63
1918,InO and Lmb,27,63
1919,InO and Lmb,28,63
1920,InO and Lmb,29,63
1921,Def and InO,30,63
1922,Def and InO,31,63
1923,Def and InO,32,63
1924,Def and InO,33,63
1925,InO and SoM,34,63
1926,Def and InO,35,63
1927,Def and InO,36,63
1928,InO and Lmb,37,63
1929,InO and Lmb,38,63
1930,InO and Vis,39,63
1931,InO and Vis,40,63
1932,InO and InO,41,63
1933,InO and Vis,42,63
1934,InO and Vis,43,63
1935,InO and SoM,44,63
1936,InO and InO,45,63
1937,Aud and InO,46,63
1938,Aud and InO,47,63
1939,Def and InO,48,63
1940,Def and InO,49,63
1941,InO and Lmb,50,63
1942,InO and Lmb,51,63
1943,Def and InO,52,63
1944,Def and InO,53,63
1945,InO and SoM,54,63
1946,InO and SoM,55,63
1947,DoA and InO,56,63
1948,DoA and InO,57,63
1949,InO and SoM,58,63
1950,DoA and InO,59,63
1951,InO and SoM,60,63
1952,InO and SoM,61,63
1953,DoA and InO,62,63
1954,DoA and Vis,1,64
1955,DoA and Vis,2,64
1956,DoA and InO,3,64
1957,DoA and InO,4,64
1958,Aud and DoA,5,64
1959,Aud and DoA,6,64
1960,Def and DoA,7,64
1961,Def and DoA,8,64
1962,DoA and Lmb,9,64
1963,DoA and Lmb,10,64
1964,Def and DoA,11,64
1965,Def and DoA,12,64
1966,DoA and SoM,13,64
1967,DoA and SoM,14,64
1968,DoA and DoA,15,64
1969,DoA and DoA,16,64
1970,DoA and SoM,17,64
1971,DoA and DoA,18,64
1972,DoA and SoM,19,64
1973,DoA and SoM,20,64
1974,DoA and DoA,21,64
1975,DoA and InO,22,64
1976,DoA and DoA,23,64
1977,Def and DoA,24,64
1978,Def and DoA,25,64
1979,Def and DoA,26,64
1980,DoA and Lmb,27,64
1981,DoA and Lmb,28,64
1982,DoA and Lmb,29,64
1983,Def and DoA,30,64
1984,Def and DoA,31,64
