index,network_names,ROI1,ROI2
205,DoA and DoA,15,21
206,DoA and DoA,16,21
207,DoA and SoM,17,21
208,DoA and DoA,18,21
209,DoA and SoM,19,21
210,DoA and SoM,20,21
211,InO and Vis,1,22
212,InO and Vis,2,22
213,InO and InO,3,22
214,InO and InO,4,22
215,Aud and InO,5,22
216,Aud and InO,6,22
217,Def and InO,7,22
218,Def and InO,8,22
219,InO and Lmb,9,22
220,InO and Lmb,10,22
221,Def and InO,11,22
222,Def and InO,12,22
223,InO and SoM,13,22
224,InO and SoM,14,22
225,DoA and InO,15,22
226,DoA and InO,16,22
227,InO and SoM,17,22
228,DoA and InO,18,22
229,InO and SoM,19,22
230,InO and SoM,20,22
231,DoA and InO,21,22
232,DoA and Vis,1,23
233,DoA and Vis,2,23
234,DoA and InO,3,23
235,DoA and InO,4,23
236,Aud and DoA,5,23
237,Aud and DoA,6,23
238,Def and DoA,7,23
239,Def and DoA,8,23
240,DoA and Lmb,9,23
241,DoA and Lmb,10,23
242,Def and DoA,11,23
243,Def and DoA,12,23
244,DoA and SoM,13,23
245,DoA and SoM,14,23
246,DoA and DoA,15,23
247,DoA and DoA,16,23
248,DoA and SoM,17,23
249,DoA and DoA,18,23
250,DoA and SoM,19,23
251,DoA and SoM,20,23
252,DoA and DoA,21,23
253,DoA and InO,22,23
254,Def and Vis,1,24
255,Def and Vis,2,24
256,Def and InO,3,24
257,Def and InO,4,24
258,Aud and Def,5,24
259,Aud and Def,6,24
260,Def and Def,7,24
261,Def and Def,8,24
262,Def and Lmb,9,24
263,Def and Lmb,10,24
264,Def and Def,11,24
265,Def and Def,12,24
266,Def and SoM,13,24
267,Def and SoM,14,24
268,Def and DoA,15,24
269,Def and DoA,16,24
270,Def and SoM,17,24
271,Def and DoA,18,24
272,Def and SoM,19,24
273,Def and SoM,20,24
274,Def and DoA,21,24
275,Def and InO,22,24
276,Def and DoA,23,24
277,Def and Vis,1,25
278,Def and Vis,2,25
279,Def and InO,3,25
280,Def and InO,4,25
281,Aud and Def,5,25
282,Aud and Def,6,25
283,Def and Def,7,25
284,Def and Def,8,25
285,Def and Lmb,9,25
286,Def and Lmb,10,25
287,Def and Def,11,25
288,Def and Def,12,25
289,Def and SoM,13,25
290,Def and SoM,14,25
291,Def and DoA,15,25
292,Def and DoA,16,25
293,Def and SoM,17,25
294,Def and DoA,18,25
295,Def and SoM,19,25
296,Def and SoM,20,25
297,Def and DoA,21,25
298,Def and InO,22,25
299,Def and DoA,23,25
300,Def and Def,24,25
301,Def and Vis,1,26
302,Def and Vis,2,26
303,Def and InO,3,26
304,Def and InO,4,26
305,Aud and Def,5,26
306,Aud and Def,6,26
307,Def and Def,7,26
308,Def and Def,8,26
309,Def and Lmb,9,26
310,Def and Lmb,10,26
311,Def and Def,11,26
312,Def and Def,12,26
313,Def and SoM,13,26
314,Def and SoM,14,26
315,Def and DoA,15,26
316,Def and DoA,16,26
317,Def and SoM,17,26
318,Def and DoA,18,26
319,Def and SoM,19,26
320,Def and SoM,20,26
321,Def and DoA,21,26
322,Def and InO,22,26
