index,Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
1,brain_feature,-25.5496930926778,1456.33121860333,-0.017543875161298,20,0.986176571444052,-3063.40338221138,3012.30399602603
2,brain_feature,972.818271216735,2401.33561932163,0.405115496305158,20,0.689693171948542,-4036.28005530572,5981.91659773919
3,brain_feature,1010.97887199751,1141.67481781704,0.885522616615619,20,0.386398082398627,-1370.51306663275,3392.47081062776
4,brain_feature,-447.613242679352,1808.84237335004,-0.247458401723726,20,0.807076132175543,-4220.79231535316,3325.56582999446
5,brain_feature,-131.73132888474,855.216769076216,-0.154032677618135,20,0.879127664374143,-1915.68224866654,1652.21959089706
6,brain_feature,386.394213214681,559.678307918025,0.6903862589423,20,0.497885742257323,-781.074279329927,1553.86270575929
7,brain_feature,1314.59736168646,1630.03456448441,0.806484347221361,20,0.429449921601458,-2085.59515760794,4714.78988098087
8,brain_feature,137.900976528621,1121.91759076371,0.12291542414871,20,0.903400863028593,-2202.37810864907,2478.18006170631
9,brain_feature,297.204070341247,454.094601471082,0.654498136243916,20,0.520247299054089,-650.020669928191,1244.42881061068
10,brain_feature,615.444819569227,662.790879696357,0.928565613110397,20,0.364186336215411,-767.11272865856,1998.00236779701
11,brain_feature,2905.31517467773,2190.48649946473,1.32633329417354,20,0.199677053332943,-1663.95959493506,7474.58994429052
12,brain_feature,-1178.28745343,1164.57445632836,-1.01177511410037,20,0.323730363798788,-3607.54720095047,1250.97229409048
13,brain_feature,-1458.34242797486,1199.92723990173,-1.21535904801553,20,0.238381923384452,-3961.34678978848,1044.66193383876
14,brain_feature,-545.576697651304,1059.71178922934,-0.514834979846799,20,0.61231145346423,-2756.09675462042,1664.94335931781
15,brain_feature,54.0530672915676,583.591399513382,0.0926214254299137,20,0.927125837828562,-1163.29726023208,1271.40339481521
16,brain_feature,229.554977256352,2149.34515279854,0.106802286713915,20,0.916009900051768,-4253.90044703946,4713.01040155216
17,brain_feature,262.241321566997,2190.67633640385,0.119707926364642,20,0.905908851914966,-4307.42944096174,4831.91208409573
18,brain_feature,146.658192862726,1641.36276269717,0.0893514804866963,20,0.929691306534892,-3277.16453382688,3570.48091955234
19,brain_feature,-204.635214600211,464.940321038133,-0.440132217707629,20,0.664561152776549,-1174.48372944581,765.213300245391
20,brain_feature,-780.207421475737,861.892526343203,-0.905225880987696,20,0.376121957986892,-2578.08372689929,1017.66888394782
21,brain_feature,244.486640349074,555.62734111004,0.44001909600171,20,0.664641711974057,-914.531683507992,1403.50496420614
22,brain_feature,3507.91423572831,1127.31400505286,3.11174545867884,20,0.00549645522936156,1156.37842759714,5859.45004385947
23,brain_feature,-217.177220869965,1107.12531223177,-0.196163179064322,20,0.846461911554718,-2526.60015372825,2092.24571198832
24,brain_feature,4494.76512569137,1767.55092671017,2.54293387407921,20,0.019368436811853,807.718501393065,8181.81174998968
25,brain_feature,321.877550637947,809.176860480192,0.397783928777863,20,0.695003376597547,-1366.03580269708,2009.79090397298
