index,Ordinary,Adjusted
1880,0.00928434286505986,0.00928434286505986
1881,0.0050507840668178,0.0050507840668178
1882,0.351377011852537,0.351377011852537
1883,0.25943970654927,0.25943970654927
1884,0.0700900623489498,0.0700900623489498
1885,0.137398453727776,0.137398453727776
1886,0.020557210411402,0.020557210411402
1887,0.0447695221015849,0.0447695221015849
1888,0.0097635574294701,0.0097635574294701
1889,0.0067865741047366,0.0067865741047366
1890,0.00587182175802903,0.00587182175802903
1891,0.021050402774647,0.021050402774647
1892,0.00722859485892835,0.00722859485892835
1893,0.0142530816373279,0.0142530816373279
1894,0.0375114371618879,0.0375114371618879
1895,0.139862258869757,0.139862258869757
1896,0.10245512173631,0.10245512173631
1897,0.0455125715041765,0.0455125715041765
1898,0.00831347173411123,0.00831347173411123
1899,0.0590675721430248,0.0590675721430248
1900,0.0747152131566461,0.0747152131566461
1901,0.133956013908889,0.133956013908889
1902,0.00685242306535416,0.00685242306535416
1903,0.0181614283252711,0.0181614283252711
1904,0.00519492343877326,0.00519492343877326
1905,0.0411964220853224,0.0411964220853224
1906,0.00429701115948267,0.00429701115948267
1907,0.00561371232256558,0.00561371232256558
1908,0.00747876518289625,0.00747876518289625
1909,0.256955675607656,0.256955675607656
1910,0.084349128422249,0.084349128422249
1911,0.0571421858637939,0.0571421858637939
1912,0.0295287011763602,0.0295287011763602
1913,0.00341879636363462,0.00341879636363462
1914,0.0165872129507115,0.0165872129507115
1915,0.0202644359054526,0.0202644359054526
1916,0.024696869705682,0.024696869705682
1917,0.0294146588539167,0.0294146588539167
1918,0.0549527914014721,0.0549527914014721
1919,0.0731172165548971,0.0731172165548971
1920,0.1307736817169,0.1307736817169
1921,0.030827040090378,0.030827040090378
1922,0.00789737000430379,0.00789737000430379
1923,0.0198410207269193,0.0198410207269193
1924,0.115862039247992,0.115862039247992
1925,0.0308615341221077,0.0308615341221077
1926,0.214672330135455,0.214672330135455
1927,0.00420776773024789,0.00420776773024789
1928,0.0449078208443986,0.0449078208443986
1929,0.0242562249062995,0.0242562249062995
1930,0.00375715842303181,0.00375715842303181
1931,0.0536770246378189,0.0536770246378189
1932,0.0401751420673949,0.0401751420673949
1933,0.0133075902330803,0.0133075902330803
1934,0.00816067315258906,0.00816067315258906
1935,0.0283268001369812,0.0283268001369812
1936,0.346610700337265,0.346610700337265
1937,0.0149469134988224,0.0149469134988224
1938,0.0218098293317676,0.0218098293317676
1939,0.0215843614376164,0.0215843614376164
1940,0.00413964146394674,0.00413964146394674
1941,0.0497836718113094,0.0497836718113094
1942,0.115032504786828,0.115032504786828
1943,0.00757924860295534,0.00757924860295534
1944,0.0035967732699429,0.0035967732699429
1945,0.263072893196708,0.263072893196708
1946,0.0324679220700653,0.0324679220700653
1947,0.0177697949341451,0.0177697949341451
1948,0.00669646438308535,0.00669646438308535
1949,0.27091847601864,0.27091847601864
1950,0.039066655284212,0.039066655284212
1951,0.0273620178378493,0.0273620178378493
1952,0.00399783635144513,0.00399783635144513
1953,0.00434444527362021,0.00434444527362021
1954,0.0289647755109215,0.0289647755109215
1955,0.0319422134893734,0.0319422134893734
1956,0.0189484397453498,0.0189484397453498
1957,0.0296359030877145,0.0296359030877145
1958,0.0151798687428764,0.0151798687428764
1959,0.00470985675601499,0.00470985675601499
1960,0.0488879012791373,0.0488879012791373
1961,0.00406425523432397,0.00406425523432397
1962,0.00590377163107592,0.00590377163107592
1963,0.0228179094514108,0.0228179094514108
1964,0.218716920331817,0.218716920331817
1965,0.007254356201984,0.007254356201984
1966,0.130530040291478,0.130530040291478
1967,0.00460442060704724,0.00460442060704724
1968,0.0154079224933523,0.0154079224933523
1969,0.0616474889873742,0.0616474889873742
1970,0.0230261377836787,0.0230261377836787
1971,0.0384311191934641,0.0384311191934641
1972,0.0057575630265585,0.0057575630265585
1973,0.0640991171627181,0.0640991171627181
1974,0.00579680097263402,0.00579680097263402
1975,0.0439627523668327,0.0439627523668327
1976,0.151997060833624,0.151997060833624
1977,0.0240702131106189,0.0240702131106189
1978,0.0304092847711788,0.0304092847711788
1979,0.004084571920138,0.004084571920138
1980,0.0119973258645097,0.0119973258645097
1981,0.0409783484739381,0.0409783484739381
1982,0.179325006744348,0.179325006744348
