id,Aud,CiO,DAn,Def,FPn,Lan,OrA,PMm,Smn,VMm,Vi1,Vi2
fake_ID_02,38.9102575846579,39.6643216363462,39.1340014770708,38.7830281033631,39.4556889216799,39.4179804048645,38.9071364858388,38.4285244065359,38.5409971244896,40.7400216485312,40.1436167552358,40.3460159499544
fake_ID_04,36.3350834374804,40.4438415028568,40.439093913589,40.8353773632086,40.2404352812543,40.8599301713598,40.7547938443213,41.620577283186,40.4725413700522,43.5184277277276,41.7811742982702,41.2844506014472
fake_ID_05,44.1798114908854,42.0210129717809,42.2109943562595,40.9990651423395,41.7508782175127,41.9547969861757,39.7846160982293,40.2826504424232,42.8595587076066,42.6992722458108,41.3332427937121,41.7700160441874
fake_ID_15,42.6495600916699,42.6806597862178,41.6272973158001,42.3496130727267,41.7704140783091,42.4267032353242,40.0383167824785,41.9974011606865,42.7849651155511,42.3627630274713,44.2198978509069,41.3125180612959
fake_ID_22,41.7140424360407,41.5047410891427,42.4339144089388,40.2739701823033,40.5175081509507,42.0155187196037,40.5921173565226,43.9544833610376,42.0407149091053,39.3154698114684,42.8874577037277,44.5445150323067
fake_ID_23,43.8971284458996,42.1798837556347,41.7296565986737,42.6195398305063,42.3732827693011,42.3507490502193,42.176206306673,40.7154645731869,42.5965976952698,42.1427865029305,41.8503477771798,42.136367094875
fake_ID_37,39.3232395201703,41.3423274257465,41.1637789608144,40.1283221515128,39.8202961747238,39.5566375767925,41.7456177979611,38.6352010127575,40.6947440585188,40.9265701073175,37.9460099471111,40.4802358472267
fake_ID_46,41.5812649962612,42.9078357880514,45.8743210993293,43.4787705260561,43.4405432542189,43.7351008537529,43.6943994764092,46.4956895050749,43.0853359471655,42.6488674057491,43.150150002108,42.5182839425951
fake_ID_47,43.0976644966362,42.3316841511882,42.7346725091372,43.6554544304077,42.6468591983191,42.6331807161687,41.690564666716,43.9521555469414,43.0212449228935,41.98909960901,43.3643307691281,42.0182909255386
fake_ID_48,38.8855893897611,40.0529563002248,38.4473737099434,39.4123485628051,39.4343305541499,38.815354329629,39.7865363322373,37.2003464361177,39.6107030672824,38.8716106545405,40.2404659953695,39.2879211775536
fake_ID_50,40.4330778056624,42.1622518380071,41.782913096287,42.6498487376173,42.6297527413476,42.2940525070903,43.9594177547464,44.0150914511451,42.34292675697,41.7230558969141,40.3611245904297,43.4768813372968
fake_ID_51,39.4853297310569,42.5162528059033,42.4966275965996,43.2655743025702,42.7064878609119,40.4218378820087,40.2563541780588,46.0671455924806,43.6067426804907,40.7999945997072,40.6739172176761,42.8685507752489
fake_ID_09,41.6576477339391,40.6787289627241,41.4362138790805,39.7772885567297,40.3028636883048,40.574095740351,37.2421183676028,41.344142145212,39.9436958981229,38.025025317644,39.1767146414373,41.5249877035002
fake_ID_10,42.2817486165649,41.6013519577395,42.8469734145297,41.6207985522098,41.5622653952981,41.7152892706975,40.6233113789746,43.759857823546,42.6394060958389,41.0462579772454,43.8392982800325,40.8733571687051
fake_ID_14,44.3145009222598,42.5758818241694,42.6183697426979,42.7353718328412,42.8261647321401,44.4189982042312,43.1587302956526,42.7641924711171,42.1228593417954,44.0418279188808,41.7770917724394,43.7868688858957
fake_ID_16,35.6507473764707,39.3766014963235,40.9584915997446,40.1547073483892,40.9459929258321,39.6247284129992,39.0554974453647,39.0041055658719,41.2089366372205,38.8640433726376,39.7782406261358,40.6933840501628
fake_ID_21,39.6011618226808,42.1349844273648,42.5081381632395,44.256641688363,42.9805380907154,42.4481295680655,41.3641573112187,43.2937559815661,40.9774999832515,40.931003464996,40.1604747126054,42.9052497602023
fake_ID_25,38.8623841264702,41.188614309418,41.1968485261101,41.7485831677034,40.8932930685328,41.2534242435291,43.7542100684024,39.9019589755571,39.4208200089901,42.7347257582134,40.7912791856718,42.681344566707
fake_ID_30,33.4636958830318,38.3862443225043,36.352119034623,39.73569737613,37.7489953098193,38.2687705826996,42.2578383353055,37.3168746942929,36.6995936874652,38.3066688664977,37.4349465077316,36.5355354312585
fake_ID_31,33.4889505259231,37.6228338135661,40.8380001524498,38.8854159369035,38.2683012309941,38.2767959291314,38.2393980663623,40.6777339520807,39.4218314037604,38.1256607346528,40.6998139375131,41.8399537407427
fake_ID_33,42.382196895888,41.7851401650125,40.5505471802102,40.2489011647269,40.1940247066342,40.4085175926477,42.5347611425052,39.9176793918873,41.9621917110923,40.9367082116826,40.0940857562083,39.5212554459889
fake_ID_38,45.5124688380849,42.9169895830014,42.2530664407728,41.5188738995514,43.1501144167215,44.2833977721516,41.1532971301015,40.9364092951919,43.5170731939938,43.5644944564689,42.4733705797394,41.4751221702613
fake_ID_40,42.281392320295,41.4327366768686,40.9633238470292,40.3543249124788,41.8591173918332,41.8499297708507,42.2997442825524,41.1644873841386,41.8992840089287,43.1271299429272,41.2023631646872,40.7863331723779
fake_ID_42,42.1381991716434,39.1701381375356,41.5324987350715,38.5838102412638,39.2439915820314,39.7365312005301,40.34526764011,41.7048137345396,40.6908365871594,39.7481116690353,41.237265766689,41.9115142920321
fake_ID_44,42.8796287822039,41.7659164919895,40.9641548807536,39.368675558976,40.144628249455,41.1415808774883,40.2785369748246,40.5552558789376,41.1201599933951,40.8121305242727,39.5286058046867,40.1626370585538
fake_ID_01,35.0741573836955,39.0440633993313,41.2439536976941,40.8891500987974,39.4528361009164,38.565286561104,41.9434580213523,38.9994680914141,38.8354448433607,40.0943379008724,39.8540548207095,39.9078233974163
fake_ID_03,34.7387588122401,38.1864656233203,37.6083253069481,38.3676832478151,39.3913266309409,36.8275624284516,42.5895064189379,37.0106754062543,37.4236165519666,37.5968842404723,38.7830662235007,38.894966608861
fake_ID_07,38.8476272232607,39.5557241324562,39.2493989101695,37.8196494968602,37.5789778110691,38.0648521587679,37.3779958257914,39.0023530568233,41.2698796521617,39.9853587236907,39.9384534194124,38.4059266932967
fake_ID_13,42.9765336713993,41.3211694514169,40.3926621293257,40.5794664930919,40.4008217256375,41.21554289718,40.2005680097189,39.6126481362763,40.9485532229686,40.5025855650051,40.9886855197656,38.2546917840265
fake_ID_17,44.4840506439667,41.6304703850756,40.1491538043753,41.4871626936728,41.4411626327904,41.6000332728499,42.0939859286583,38.3433958235475,41.5229359102411,40.511537342238,41.168415222077,40.8204684378476
fake_ID_28,37.5028047329559,38.2520117525025,39.8238240174423,38.9060615327409,39.4295561111519,39.4459125861528,41.0029963200603,39.1201088893974,40.1796804424212,39.4016463001076,41.1396462454602,37.2665605579487
fake_ID_32,40.7194561526927,42.3563481795222,38.9807014518788,43.7879858998704,43.4114716199324,43.4560958362347,42.1219292967639,40.4625195141596,40.072702215377,44.273788328723,38.2134277711263,38.7260016254066
fake_ID_45,42.975925349942,41.4607748356532,40.0447717183441,41.4641177004817,41.3951557067056,41.947902183037,40.1549782134467,41.4094837575997,40.4214238306808,39.3817975465197,42.664630076468,40.6999206372723
fake_ID_49,35.8630413155929,42.0294486100242,40.6129520784923,42.207198867321,43.5698522565947,38.0948870344779,39.571207648536,43.9062137262434,43.1172618136142,38.8219158134763,40.5808739474659,41.5798979564944
fake_ID_06,36.8349964678746,38.1328267333408,38.0636688070138,37.1340123862566,38.2518998923967,38.6204951912015,38.868912363893,37.0847693416194,37.1264323207827,39.6782488536901,37.4904210814201,37.9074008330941
fake_ID_08,41.7388010707131,39.0395648963833,41.7317045478978,40.9757871116047,39.4616903827249,40.556365976243,42.0758305202516,43.6176262668369,39.7280927507748,41.086678128335,43.2573295065726,41.824430916691
fake_ID_11,43.2621573721607,42.5964931256342,42.1786604259538,43.7231241610189,43.5924679887288,43.1813102642124,40.2817832065466,40.8373537637208,41.9417985374071,42.3632521861019,43.9254562822499,42.5961520708008
fake_ID_12,41.9383482159789,41.6610536895807,43.182073043664,42.3373445193463,41.3601683599196,40.4919684869796,41.9799574557027,42.8554423726884,40.5687463259733,39.7259682025972,42.1620367142302,43.1826910263186
fake_ID_18,35.3418056273298,35.2060539669592,35.3442651058791,35.1040061157318,34.799899511134,35.4402331693746,36.0664630521415,33.3901855482971,34.4286285256153,34.3889392669931,39.1217828517519,37.3909964293652
fake_ID_19,38.1327619173745,41.2463714172359,41.1164050952045,39.8162793595847,41.625864475668,40.6142293143719,44.3734523303362,40.6952750097768,39.8043939928647,42.8203940885819,41.9393531229909,39.601904166316
fake_ID_20,39.8625372479332,41.6950655625885,41.1963114026498,42.7615253210061,43.320544675299,42.3900964719722,42.0324978320616,40.170650124294,41.8579705769061,43.1722830167625,40.5082981700019,41.7030883628338
fake_ID_24,35.7613424002098,38.3856352113178,39.5699611770563,37.5972222031402,39.3080257195608,36.6302779448615,36.8880131912067,38.6834636779129,39.9456851820152,34.9269380534898,38.4961377856072,39.5063317937084
fake_ID_26,46.5757273971983,42.6926823552311,44.7617523994706,42.3857389484992,45.1195841594223,44.3337092695753,41.6445241207602,46.3375226001752,44.7058737419347,39.8793916624275,40.8898910752,44.5568401293033
fake_ID_27,35.7694428345004,39.29230305354,37.670163533649,40.1723622701648,37.11773257178,38.4636971828284,38.6943130785756,37.4920819895731,37.6066907185446,40.6171178877166,39.6199050481596,36.7260534580595
fake_ID_29,41.1394390477709,40.9476407689043,41.8300514510759,42.8163559252735,41.7878377607584,40.1733001939155,42.8312501215758,42.055900784653,38.2930819751434,40.5103008662064,42.4175706652839,42.2538545601486
fake_ID_34,49.7066914772189,44.1079829324757,43.7164465191164,42.5315741674629,42.8588189362932,44.9239195486526,42.7223323767452,43.8256260949735,45.9663712078152,45.7421192425987,43.0829795630515,42.5358071344107
