Row,R,exp_variance
Top feature,0.459100987881722,21.0773717073973
top 00.1% features,0.459100987881722,21.0773717073973
top 00.2% features,0.459100987881722,21.0773717073973
top 00.5% features,0.504367377296037,25.4386451280483
top 01.0% features,0.5880560728334,34.5809944796241
top 02.0% features,0.662233904830724,43.8553744707348
top 05.0% features,0.730033652687478,53.2949134056221
top 10.0% features,0.686816013931896,47.1716236993299
top 25.0% features,0.660875943364414,43.6757012517804
top 50.0% features,0.610720695316175,37.2979767687472
top 100.0% features,0.588867004216067,34.6764348654406
