Row,R,exp_variance,Rcum,Vcum,brain_features,percent_brain_features
DAn,0.640013518216768,40.9617303500205,0.640013518216768,40.9617303500205,23,6.38888888888889
Vi2,0.635791528123794,40.4230867233989,0.700595012377199,49.0833371367808,77,21.3888888888889
Smn,0.612029571640574,37.4580196562545,0.738587157585245,54.5510989349852,116,32.2222222222222
FPn,0.534577419076069,28.5773016986031,0.702538464436298,49.3560294012512,166,46.1111111111111
PMm,0.516907575025122,26.7193441118352,0.711040639770961,50.5578791405898,173,48.0555555555556
Def,0.491651669969313,24.1721364583615,0.642818032285892,41.3215022631907,250,69.4444444444444
CiO,0.485133119453329,23.5354143590518,0.624060251387604,38.945119736196,306,85
Lan,0.464629696268252,21.5880754654328,0.607419378859691,36.8958301814293,329,91.3888888888889
VMm,0.392644142919249,15.4169422968792,0.605134598329971,36.6187882095975,333,92.5
Vi1,0.370596081564183,13.7341455670726,0.606918656298348,36.8350255362992,339,94.1666666666667
Aud,0.276272750694263,7.63266327761745,0.590433756626436,34.8612020964006,354,98.3333333333333
OrA,0.174497812839216,3.04494866856701,0.588867004216067,34.6764348654406,360,100
