index,Ordinary,Adjusted
1,0.000238044564728741,0.000238044564728741
2,0.0295023798707585,0.0295023798707585
3,0.000717211613352385,0.000717211613352385
4,0.00633240847057985,0.00633240847057985
5,0.0407373394219769,0.0407373394219769
6,0.0016401655234071,0.0016401655234071
7,0.0773980277575375,0.0773980277575375
8,0.119672995323269,0.119672995323269
9,0.0550229241572954,0.0550229241572954
10,0.0517457683663248,0.0517457683663248
11,0.0505651236259893,0.0505651236259893
12,0.0485944214800743,0.0485944214800743
13,0.0251036145423134,0.0251036145423134
14,0.0500653247963174,0.0500653247963174
15,0.00015059001519205,0.00015059001519205
16,0.00282555794143174,0.00282555794143174
17,7.02385213609419e-05,7.02385213609419e-05
18,0.0837068720001121,0.0837068720001121
19,0.00249727225018109,0.00249727225018109
20,0.00143396247872364,0.00143396247872364
21,0.0334203255580511,0.0334203255580511
22,0.00400277262582849,0.00400277262582849
23,0.0485270537049113,0.0485270537049113
24,0.0165004847930188,0.0165004847930188
25,0.052497065910528,0.052497065910528
26,0.0427951468688825,0.0427951468688825
27,0.0386377124579888,0.0386377124579888
28,0.199283379419711,0.199283379419711
29,3.70962381426945e-06,3.70962381426945e-06
30,0.00176447387845608,0.00176447387845608
31,0.0156718007518362,0.0156718007518362
32,0.00107479217844674,0.00107479217844674
33,0.0494791880678205,0.0494791880678205
34,0.0024793747623785,0.0024793747623785
35,0.000910987267445917,0.000910987267445917
36,0.00641360154082309,0.00641360154082309
37,0.000752211376341302,0.000752211376341302
38,0.00338670845010152,0.00338670845010152
39,0.00142582279272275,0.00142582279272275
40,0.0112424694736646,0.0112424694736646
41,0.011049922498834,0.011049922498834
42,0.00474750338114148,0.00474750338114148
43,0.00548932896438058,0.00548932896438058
44,0.000349633693874356,0.000349633693874356
45,0.0163877033812635,0.0163877033812635
46,0.012021152620339,0.012021152620339
47,0.000704437280929099,0.000704437280929099
48,0.0609981001751471,0.0609981001751471
49,0.0024305613665183,0.0024305613665183
50,0.0197170860822123,0.0197170860822123
51,0.00468162796306928,0.00468162796306928
52,0.0251045704380548,0.0251045704380548
53,0.0250401213078621,0.0250401213078621
54,0.0291537150263182,0.0291537150263182
55,0.00709965209155546,0.00709965209155546
56,0.0604985344095352,0.0604985344095352
57,3.88114972886589e-05,3.88114972886589e-05
58,0.000738073264122193,0.000738073264122193
59,0.0455984548044394,0.0455984548044394
60,0.0285340204258045,0.0285340204258045
61,0.0113560888884874,0.0113560888884874
62,0.00018368603482341,0.00018368603482341
63,0.104451560130702,0.104451560130702
64,3.86164176925476e-05,3.86164176925476e-05
65,0.000106612722612173,0.000106612722612173
66,0.0209015823519655,0.0209015823519655
67,0.153859351216268,0.153859351216268
68,0.0281860351474826,0.0281860351474826
69,0.0412305381471443,0.0412305381471443
