index,Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
1,(Intercept),44.0280466063697,26.4523558249841,1.66442818543918,49,0.102409742694928,-9.12995262324961,97.1860458359889
2,(Intercept),65.554496158602,20.0411508236265,3.27099460183295,49,0.00196604647501941,25.2802957398701,105.828696577334
3,(Intercept),37.6971076117698,18.6275478374588,2.02372893848988,49,0.0484692064204722,0.263648749172489,75.1305664743672
4,(Intercept),26.5132525962678,26.2924353314335,1.00839850938305,49,0.318217034571923,-26.3233743696028,79.3498795621384
5,(Intercept),7.91868076210047,23.1125058667206,0.342614548494392,49,0.73335386745118,-38.5276386956655,54.3650002198664
6,(Intercept),48.198483544553,24.8049441723524,1.94309985983662,49,0.0577606299713252,-1.64891802257942,98.0458851116855
7,(Intercept),69.8894351638029,14.2515702376831,4.90398138578484,49,1.07447568785778e-05,41.249832523947,98.5290378036588
8,(Intercept),86.8269960895901,17.7562846438724,4.88993040103993,49,1.12722900237387e-05,51.1444061658461,122.509586013334
9,(Intercept),10.4515237124676,18.2615400789412,0.572324331205782,49,0.569718991525983,-26.2464150220156,47.1494624469508
10,(Intercept),80.5533593968021,24.1349550071859,3.33762210755389,49,0.00161944295544804,32.0523514651331,129.054367328471
11,(Intercept),72.3700299998401,19.3773854826224,3.73476752396454,49,0.000490264418105975,33.4297159736546,111.310344026026
12,(Intercept),75.176794467574,21.552914763414,3.48801056807344,49,0.00103790600145101,31.8645906710602,118.488998264088
13,(Intercept),21.339104066042,17.7362996107912,1.20313168667149,49,0.234706351614289,-14.3033244301088,56.9815325621928
14,(Intercept),19.0734552314561,13.8491016039872,1.37723411791309,49,0.174699032157028,-8.75735640840329,46.9042668713155
15,(Intercept),39.3668700539365,21.1300542195462,1.86307472971463,49,0.068451333398599,-3.09556366486161,81.8293037727345
16,(Intercept),47.1750572978372,16.1837423613891,2.91496591112244,49,0.00534972323022104,14.6526094043104,79.6975051913641
17,(Intercept),42.3851201550757,20.6684208729067,2.05071884377178,49,0.0456623087713836,0.850373378317528,83.919866931834
18,(Intercept),79.2452651480118,18.063333621676,4.38707864272171,49,6.09235006871528e-05,42.9456372018878,115.544893094136
19,(Intercept),34.0330247184363,20.4628777016816,1.66315926892528,49,0.102664707892809,-7.08866759126708,75.1547170281396
20,(Intercept),37.2612261522789,14.8528945235803,2.50868449197719,49,0.0154763196094366,7.41321711799944,67.1092351865584
21,(Intercept),60.2575708438998,14.7502288076513,4.08519566914399,49,0.000162624763722086,30.6158762900536,89.899265397746
22,(Intercept),49.2320839139087,18.2286146665612,2.70081324414744,49,0.00947127513204884,12.6003112728166,85.8638565550008
23,(Intercept),68.3900632721457,17.2906181412364,3.95532783810904,49,0.000245986234977888,33.6432652208595,103.136861323432
24,(Intercept),52.6264995658806,12.7354238590576,4.13229274096379,49,0.000139775997525709,27.0337071443737,78.2192919873876
25,(Intercept),73.7678511771821,19.8460698311857,3.71700048446191,49,0.000517876166004856,33.8856806900937,113.65002166427
26,(Intercept),68.9601995651913,18.8417043373353,3.65997673727132,49,0.000616947855518202,31.0963771035718,106.824022026811
27,(Intercept),20.7036237989578,14.6794337387146,1.41038300028941,49,0.16474348732189,-8.7958027374424,50.203050335358
28,(Intercept),98.2909766891131,16.422509442009,5.98513747464706,49,2.46710363393405e-07,65.2887083829308,131.293244995295
29,(Intercept),41.3216053816067,10.8923245652417,3.79364433497211,49,0.000408520090468083,19.4326596605226,63.2105511026908
30,(Intercept),46.806678513715,19.2027899266108,2.4374936502769,49,0.0184649457668999,8.21722739340319,85.3961296340268
31,(Intercept),64.5038943686671,26.4620587822904,2.43759923970225,49,0.0184601516587114,11.3263963163182,117.681392421016
32,(Intercept),46.0693593957142,21.3740287332384,2.15538960720458,49,0.0360707129392498,3.11664053570948,89.0220782557189
33,(Intercept),72.2977619404942,19.5535075593757,3.69743186591748,49,0.000550015271484308,33.0035173501534,111.592006530835
34,(Intercept),46.7514549229164,16.0607689992635,2.91091011427038,49,0.00540912531637206,14.4761312527435,79.0267785930892
35,(Intercept),37.2564636765016,18.619556389277,2.00093186419616,49,0.0509552279259441,-0.160935769720865,74.673863122724
36,(Intercept),48.922000569439,13.8714837310316,3.52680373044713,49,0.000923948766961427,21.0462103613168,76.7977907775612
37,(Intercept),38.1042520417023,16.0823440776697,2.36932202530164,49,0.0218049196231534,5.78557162822514,70.4229324551794
38,(Intercept),31.8323960394874,22.9587993946283,1.38650090069324,49,0.171870417814988,-14.3050386981752,77.96983077715
39,(Intercept),36.4958923574261,17.7730670457618,2.05343806240403,49,0.0453875002928623,0.779576934425442,72.2122077804268
40,(Intercept),58.0827540667707,22.7099702257585,2.55758829665444,49,0.0136851656624955,12.4453602651442,103.720147868397
41,(Intercept),55.4970959997622,19.4244438098383,2.85707516483193,49,0.00625796468797407,16.4622147245029,94.5319772750215
42,(Intercept),33.8404467742875,15.2641554776899,2.21698781984688,49,0.0312951720874977,3.16597791063129,64.5149156379438
43,(Intercept),49.9411616711213,16.9345137588774,2.94907562048784,49,0.00487364387207107,15.909982168457,83.9723411737857
44,(Intercept),43.5263424576546,18.0266771859927,2.41455161195631,49,0.0195336081807289,7.30037837696123,79.752306538348
45,(Intercept),28.6164232506406,13.9983403585027,2.0442725721595,49,0.0463195586315294,0.485705105286673,56.7471413959945
46,(Intercept),53.9338726136506,16.6044307475225,3.2481614957922,49,0.00210019147775882,20.5660197568022,87.301725470499
47,(Intercept),44.4165429024923,17.5123640328605,2.53629623157378,49,0.0144404618590672,9.22412979846315,79.6089560065215
