index,Name,Estimate,SE,tStat,DF,pValue,Lower,Upper
1,brain_feature,21.048312257859,0.857574995200518,24.543990176553,50,1.50724792198585e-29,19.3258221869392,22.7708023287787
2,brain_feature,15.9438783700153,0.690794043460741,23.0805093369648,50,2.55225452192923e-28,14.5563776994373,17.3313790405933
3,brain_feature,18.9381484383969,0.782057365091116,24.2158047270489,50,2.80704566311228e-29,17.3673399915576,20.5089568852362
4,brain_feature,19.669182125669,0.783973732703186,25.0890830970172,50,5.4492895379601e-30,18.0945245412004,21.2438397101376
5,brain_feature,18.318994559419,0.709433575629379,25.8220010846923,50,1.4289894060504e-30,16.8940552866584,19.7439338321796
6,brain_feature,16.6653677764735,0.685602278562934,24.3076318407302,50,2.35707597126531e-29,15.2882950725889,18.0424404803582
7,brain_feature,14.3954942099781,0.678005926037711,21.2321067665379,50,1.13447037371017e-26,13.0336792291767,15.7573091907794
8,brain_feature,15.1203398136108,0.693117948947063,21.8149592527226,50,3.33373648713456e-27,13.7281714414926,16.512508185729
9,brain_feature,24.2220634662746,0.932637823275428,25.9715645899998,50,1.09182398367861e-30,22.348805268045,26.0953216645043
10,brain_feature,15.4751133920602,0.664695742388595,23.2814991960835,50,1.71540620185284e-28,14.140032701911,16.8101940822094
11,brain_feature,15.7467088256083,0.693975413834456,22.6905860232169,50,5.56262475344214e-28,14.3528181845772,17.1405994666394
12,brain_feature,14.8610867186335,0.645436296388942,23.0248698466102,50,2.85045076982635e-28,13.5646897642409,16.1574836730261
13,brain_feature,18.3210651480261,0.726110356699804,25.2317915300037,50,4.18810964157956e-30,16.8626295746859,19.7795007213662
14,brain_feature,16.9196151200252,0.664417360133583,25.4653417192824,50,2.72970034722167e-30,15.5850935770909,18.2541366629594
15,brain_feature,17.1734800050993,0.704858880249787,24.3644231296531,50,2.11625934941762e-29,15.7577292784285,18.5892307317702
16,brain_feature,17.7230897408168,0.763490448153646,23.2132435758387,50,1.96257908883374e-28,16.1895740441759,19.2566054374577
17,brain_feature,17.3737831031935,0.718516402745646,24.1800786131028,50,3.00493752897566e-29,15.9306004352649,18.8169657711221
18,brain_feature,13.0582324563979,0.590023501597312,22.131715806314,50,1.73265230277163e-27,11.8731353759111,14.2433295368848
19,brain_feature,16.1514035195444,0.657223517971622,24.5752062698428,50,1.42120522384783e-29,14.8313312338356,17.4714758052532
20,brain_feature,16.2997195610475,0.687864255781234,23.6961281590876,50,7.62587260791797e-29,14.9181035422097,17.6813355798853
21,brain_feature,13.7927316062407,0.628477551027524,21.9462597887393,50,2.53928613295209e-27,12.5303972943736,15.0550659181078
22,brain_feature,13.7887129602821,0.586797314272312,23.4982550616843,50,1.12114619958404e-28,12.6100958677442,14.96733005282
23,brain_feature,16.1790544185844,0.724393400199179,22.3346242720265,50,1.14390311493141e-27,14.7240674538687,17.6340413833001
24,brain_feature,17.1488775855689,0.791516653829462,21.6658455669889,50,4.54876661434977e-27,15.5590695981403,18.7386855729976
25,brain_feature,14.3736954540262,0.632025099247305,22.742285822421,50,5.01350570081738e-28,13.1042356818566,15.6431552261958
26,brain_feature,13.6801475352448,0.602676370256278,22.6989943697768,50,5.46931310703907e-28,12.4696364201187,14.8906586503708
27,brain_feature,15.6611388520225,0.619585632121641,25.2767947481193,50,3.85550689775772e-30,14.4166644848978,16.9056132191471
28,brain_feature,15.133534386037,0.715841636847969,21.1408971021493,50,1.37748478926425e-26,13.6957241435249,16.5713446285491
29,brain_feature,16.6965864374261,0.760118314791954,21.9657731073037,50,2.43888655487417e-27,15.1698438699761,18.2233290048762
