Row,R,exp_variance,Rcum,Vcum,brain_features,percent_brain_features
Aud and Aud,0.319670647380894,10.218932279692,0.319670647380894,10.218932279692,6,0.1806684733514
InO and InO,0.686033283686227,47.0641666325307,0.694063150390709,48.1723656730276,27,0.813008130081301
Vis and Vis,0.689732935125222,47.5731521796453,0.812647031314572,66.0395197504386,55,1.65612767238784
DoA and Vis,0.698745969671139,48.824593013166,0.884777347470761,78.2830954597396,135,4.0650406504065
Aud and Vis,0.730330584551145,53.3382762730818,0.892235865544683,79.608483976427,167,5.02860584161397
DoA and DoA,0.748922426655827,56.0884801148052,0.902560220474603,81.4614951583165,212,6.38361939174947
Aud and InO,0.782810226695915,61.279185101971,0.920783154648768,84.7841617884937,240,7.22673893405601
DoA and InO,0.802565631714924,64.4111593209975,0.926634364320538,85.8651245139727,310,9.33453778982234
Aud and SoM,0.849033773979055,72.0858349357117,0.942749917658516,88.8777407245138,362,10.9003312255345
InO and Vis,0.850669117803289,72.3637947984227,0.953481692659719,90.9127338237244,418,12.5865703101475
SoM and Vis,0.858608772200836,73.7209023700227,0.959496034150699,92.063263955092,522,15.7181571815718
Lmb and Lmb,0.861790727536068,74.2683258067145,0.953685865929652,90.9516730873989,613,18.4582956940681
Lmb and SoM,0.862398322278914,74.3730866269486,0.945895706356751,89.4718687304136,795,23.9385727190605
SoM and SoM,0.862932820773061,74.4653053167352,0.954492862805631,91.1056625146888,873,26.2872628726287
Aud and DoA,0.867082328805864,75.18317649274,0.959547228180479,92.073088310884,913,27.4917193616381
Aud and Def,0.876381188991045,76.8043988417357,0.959705612150794,92.1034861993731,1017,30.6233062330623
Lmb and Vis,0.887809522225449,78.820574775418,0.961759139003089,92.4980641455962,1129,33.9957844022885
InO and Lmb,0.889090407628412,79.0481752936856,0.962435763205782,92.6282598297496,1227,36.9467028003613
InO and SoM,0.904766112391014,81.8601718131149,0.96234160067942,92.6101356398228,1318,39.6868413128576
DoA and Lmb,0.914211779866077,83.5783178445901,0.964857388540189,93.0949780220594,1458,43.9024390243902
Aud and Lmb,0.914375348672191,83.6082278259391,0.966364278022173,93.3859917837315,1514,45.5886781090033
DoA and SoM,0.916807325178646,84.0535671501224,0.972248402447402,94.5266956061525,1644,49.5031616982836
Def and DoA,0.947348023682976,89.7468277976041,0.977258596562355,95.5034364555024,1904,57.3321288768443
Def and Lmb,0.949018417515511,90.0635956783645,0.975178089706826,95.0972306644254,2268,68.2926829268293
Def and Def,0.949944691653984,90.2394917201583,0.978355565220315,95.7179611997562,2593,78.0788919000301
Def and Vis,0.951912578274709,90.6137556677604,0.983914654030509,96.8088046415976,2801,84.3420656428787
Def and SoM,0.953304407916582,90.8789294153184,0.985350384818001,97.0915380860984,3139,94.5197229750075
Def and InO,0.960243386974782,92.20673622288,0.985605445071196,97.141809335399,3321,100
