Row,R,exp_variance,Rcum,Vcum,brain_features,percent_brain_features
Def and InO,0.960243386974782,92.20673622288,0.960243386974782,92.20673622288,182,5.48027702499247
Def and SoM,0.953304407916582,90.8789294153184,0.973312153484115,94.7336548119886,520,15.6579343571213
Def and Vis,0.951912578274709,90.6137556677604,0.978346784160271,95.7162430076744,728,21.9211080999699
Def and Def,0.949944691653984,90.2394917201583,0.979197882780118,95.8828493641065,1053,31.7073170731707
Def and Lmb,0.949018417515511,90.0635956783645,0.985071735898532,97.0366324866146,1417,42.6678711231557
Def and DoA,0.947348023682976,89.7468277976041,0.985095291275948,97.0412732894044,1677,50.4968383017164
DoA and SoM,0.916807325178646,84.0535671501224,0.98846531688077,97.7063682676201,1807,54.4113218909967
Aud and Lmb,0.914375348672191,83.6082278259391,0.98890093374629,97.7925056764284,1863,56.0975609756098
DoA and Lmb,0.914211779866077,83.5783178445901,0.989587860541429,97.9284133730963,2003,60.3131586871424
InO and SoM,0.904766112391014,81.8601718131149,0.989265757080779,97.8646738132607,2094,63.0532971996387
InO and Lmb,0.889090407628412,79.0481752936856,0.988798865668031,97.7723196746386,2192,66.0042155977115
Lmb and Vis,0.887809522225449,78.820574775418,0.988317944421319,97.6772359265181,2304,69.3766937669377
Aud and Def,0.876381188991045,76.8043988417357,0.987741820970822,97.5633904894755,2408,72.5082806383619
Aud and DoA,0.867082328805864,75.18317649274,0.987753601626298,97.5657177525724,2448,73.7127371273713
SoM and SoM,0.862932820773061,74.4653053167352,0.988632679316495,97.7394574612512,2526,76.0614272809395
Lmb and SoM,0.862398322278914,74.3730866269486,0.986558294318159,97.3297268087956,2708,81.5417043059319
Lmb and Lmb,0.861790727536068,74.2683258067145,0.986102199378708,97.2397547619526,2799,84.2818428184282
SoM and Vis,0.858608772200836,73.7209023700227,0.985892855168348,97.1984721871998,2903,87.4134296898524
InO and Vis,0.850669117803289,72.3637947984227,0.985806395583053,97.181424957245,2959,89.0996687744655
Aud and SoM,0.849033773979055,72.0858349357117,0.98577427627774,97.1750923770901,3011,90.6654622101777
DoA and InO,0.802565631714924,64.4111593209975,0.985131598057405,97.0484265491136,3081,92.773261065944
Aud and InO,0.782810226695915,61.279185101971,0.984789870919689,96.9811089866017,3109,93.6163806082505
DoA and DoA,0.748922426655827,56.0884801148052,0.984853098025773,96.9935624690962,3154,94.971394158386
Aud and Vis,0.730330584551145,53.3382762730818,0.984866031438453,96.9961099881328,3186,95.9349593495935
DoA and Vis,0.698745969671139,48.824593013166,0.985091420776018,97.0405107286514,3266,98.3438723276122
Vis and Vis,0.689732935125222,47.5731521796453,0.985460646723296,97.1132686240297,3294,99.1869918699187
InO and InO,0.686033283686227,47.0641666325307,0.985564939943006,97.133825084486,3315,99.8193315266486
Aud and Aud,0.319670647380894,10.218932279692,0.985605445071196,97.141809335399,3321,100
